can	罐頭	罐头
rock	岩石	岩石
rest area	支託區	支托区
front room	前室	前室
main course	主帆	主帆
river	河	河
white lead	[化]鉛白	[化]铅白
club-head	棒頭	棒头
post road	郵路	邮路
local road	支路	支路
club head	棒頭	棒头
big blue	藍色巨人（IBM公司的綽號）	蓝色巨人（IBM公司的绰号）
track	軌跡	轨迹
lead line	鉛線	铅线
call center	呼叫中心	呼叫中心
eye	眼睛	眼睛
limited	特別快車	特别快车
store	商店	商店
staff of life	主食	主食
day bed	（坐臥兩用	（坐卧两用
time-ball	報時球	报时球
first base	一壘的位置	一垒的位置
control board	控制盤(板)	控制盘(板)
little dog	小犬座	小犬座
main office	總公司	总公司
private line	專用線	专用线
island	島	岛
white gold	白合金	白合金
addition	加法	加法
sound system	音響系統	音响系统
station	車站	车站
red fire	紅火	红火
type b	【心理學】	【心理学】
black lead	石墨	石墨
health club	保健俱樂部	保健俱乐部
round top	[美國] 朗德託普	[美国] 朗德托普
two-piece	兩件構成一套的	两件构成一套的
top round	（牛的）大腿肉	（牛的）大腿肉
club car	餐車	餐车
new river	新河	新河
dog house	高頻高壓電源遮蔽罩	高频高压电源屏蔽罩
female	女性	女性
leading	領導	领导
cross	十字架	十字架
ass	驢	驴
ice	冰	冰
south america	南美	南美
land office	土地管理局	土地管理局
work table	工作表	工作表
modern man	近人	近人
military post	軍事據點	军事据点
ground water	地下水	地下水
hot line	熱線	热线
piece of work	（尤指具有某種質素的）一件作品[產品]	（尤指具有某种质素的）一件作品[产品]
pass-through	透過	通过
music stand	樂譜架	乐谱架
man-of-the-earth	地球上的人	地球上的人
group o	組O	组O
blue point	藍點貓	蓝点猫
small stuff	小繩索	小绳索
day care center	日託中心	日托中心
hard drive	硬式磁碟機	硬式磁盘机
common room	公共休息室	公共休息室
tv room	電視機房	电视机房
dead body	死屍	死尸
control center	控制中心	控制中心
great wall	長城	长城
home base	本壘	本垒
safe house	安全藏身處	安全藏身处
crazy house	精神病院	精神病院
quick	新長出的肉	新长出的肉
king post	（吊樑上的）中柱	（吊梁上的）中柱
production line	生產線	生产线
hour hand	時針	时针
high sea	公海	公海
stage set	舞臺佈景	舞台布景
test room	試驗室	试验室
dead room	靜室	静室
research center	研究中心	研究中心
running light	空車運轉	空车运转
north america	北美洲	北美洲
blood group	血型	血型
drive line	傳動線	传动线
high table	（宴會上的）貴賓席	（宴会上的）贵宾席
gas well	氣井	气井
computer	電腦	电脑
photo	相片	相片
sun	太陽	太阳
center bit	轉柄鑽	转柄钻
big h	海洛因	海洛因
train	火車	火车
gun	槍	枪
natural order	自然順序	自然顺序
main street	相對於華爾街(Wall Street	相对于华尔街(Wall Street
fine art	美（藝）術（指繪畫和雕塑）	美（艺）术（指绘画和雕塑）
community center	社群活動中心	社区活动中心
north star	北極星	北极星
ground control	地面控制	地面控制
card-house	必然失敗的計劃	必然失败的计划
red lead	鉛丹	铅丹
old growth	原始林	原始林
model t	T型發動機小汽車	T型发动机小汽车
picture book	圖畫書	图画书
morning star	晨星	晨星
hot air	吹牛	吹牛
product	產品	产品
hotel	旅館	旅馆
material	材料	材料
dog shit	狗屎	狗屎
second base	[體]二壘	[体]二垒
reading room	閱覽室	阅览室
box family	盒子家庭	盒子家庭
fast food	速食	速食
money box	銀(錢)箱	银(钱)箱
whole blood	全血	全血
language area	語言區	语言区
live-and-die	生存和毀滅	生存和毁灭
head of hair	濃濃的頭髮	浓浓的头发
brain	腦	脑
side door	側門	侧门
opening	開始	开始
annual	年刊	年刊
floor	地板	地板
bar	條	条
funny house		
working dog	牧羊犬	牧羊犬
main road	幹道	干道
mother board	主機板	主机板
music paper	樂譜用紙	乐谱用纸
water bed	充水床墊	充水床垫
service door	服務入口	服务入口
control key	控制鍵	控制键
central office	中央局	中央局
central body	中心體	中心体
play-box	木質玩具盒	木质玩具盒
paper white	多花水仙	多花水仙
running board	外走廊	外走廊
blue air	藍色的空氣	蓝色的空气
second growth	次生林	次生林
set piece	具有眾所周知的固定形式	具有众所周知的固定形式
red hot	紅熱	红热
conference house	會之家	会之家
station house	火車站	火车站
death cup	一種極毒的蘑菇	一种极毒的蘑菇
light source	光源	光源
fire control system	火力控制系統	火力控制系统
trump	王牌	王牌
ship	船	船
active	主動語態	主动语态
white sea	白海（巴倫支海的海灣	白海（巴伦支海的海湾
race car	賽車	赛车
car door	車門	车门
free weight	自由重量級	自由重量级
dog food	狗糧	狗粮
water table	地下水位	地下水位
fan	風扇	风扇
beach	海灘	海滩
africa	非洲	非洲
medical building	醫療建築	医疗建筑
bank building	銀行大樓	银行大楼
church building	教堂	教堂
music box	音樂盒	音乐盒
table service	成套餐具	成套餐具
watch key	表鑰匙(用於給鐘錶上發條)	表钥匙(用于给钟表上发条)
black sea	黑海	黑海
waiting area	等候處	等候处
center field	(棒球)中外野	(棒球)中外野
half door	半截門	半截门
private road	專用道路	专用道路
call box	公共電話亭	公共电话亭
ground plan	平面圖	平面图
first floor	第一層	第一层
home computer	家用計算機	家用计算机
thus	如此	如此
necessary	必要的	必要的
body hair	體毛	体毛
skin	皮膚	皮肤
radio set	無線電機組	无线电机组
party wall	（接界土地上兩方共有的）界牆	（接界土地上两方共有的）界墙
line of products	系列產品	系列产品
single bed	單人床	单人床
white river	白河	白河
university of washington	華盛頓大學	华盛顿大学
gas system	氣體系統	气体系统
green market	綠色市場	绿色市场
hospital room	病房	病房
right brain	（人的）右腦（據信用於構思新思想和主管情感）	（人的）右脑（据信用于构思新思想和主管情感）
glad	高興的	高兴的
black box	未知框	未知框
machine	機器	机器
fish	魚	鱼
drink	飲料	饮料
overall	罩衫	罩衫
police dog	警犬	警犬
record player	電唱機	电唱机
oil future	石油期貨	石油期货
face card	(紙牌)人頭牌(撲克牌的J.Q.K)	(纸牌)人头牌(扑克牌的J.Q.K)
south sea	南海	南海
forward market	期貨市場	期货市场
open-air market	露天市場	露天市场
waiting room	候車室	候车室
water gas	水煤氣	水煤气
human race	人種	人种
power station	發電所	发电所
touch-me-not	鳳仙花	凤仙花
country store	鄉村雜貨店	乡村杂货店
chinese white	中國白	中国白
male	男人	男人
plant	植物	植物
coach house	馬車房	马车房
general store	雜貨鋪	杂货铺
type o	型別O	类型O
super c	維他命C	维他命C
room access	房間通道	房间通道
court card	人頭牌（紙牌中之King	人头牌（纸牌中之King
service station	加油站	加油站
ice water	（用作飲料的）冰水	（用作饮料的）冰水
water ice	<主英>（用果汁等製成的）冰糕	<主英>（用果汁等制成的）冰糕
time machine	時間機器（能使人往返於過去或未來）	时间机器（能使人往返于过去或未来）
paper-back book	平裝書	平装书
shop	商店	商店
fall-board	木窗板	木窗板
equipment	裝備	装备
block	街區	街区
air base	空軍基地	空军基地
movie film	電影片	电影片
one-spot	汙點	污点
association area	聯合區	联合区
t-network	T形四端網路	T形四端网络
high bar	高單槓	高单杠
round shot	(舊時的)圓球形炮彈	(旧时的)圆球形炮弹
dark matter	暗物質	暗物质
north sea	北海	北海
end product	最後結果	最后结果
blood type	血型	血型
fire door	火門	火门
sound film	有聲電影	有声电影
playing card	撲克牌	扑克牌
drive line system	傳動系統	传动系统
half track	半磁跡	半磁迹
baby oil	嬰兒潤膚油	婴儿润肤油
black ice	透明薄冰	透明薄冰
table saw	桌上型鋸床	桌上型锯床
sunday best	節日服裝	节日服装
computer system	計算機系統	计算机系统
foot	腳	脚
camera	照相機	照相机
hall	門廳	门厅
red sea	紅海（印度洋西北的長形內海	红海（印度洋西北的长形内海
drug	藥	药
coast	海岸	海岸
cell	單元	单元
football field	[體]足球場	[体]足球场
set gun	設槍	设枪
train set	一套玩具火車	一套玩具火车
front door	前門	前门
rock bit	牙輪鑽頭	牙轮钻头
may fish	可能會釣魚	可能会钓鱼
art paper	加工印刷紙	加工印刷纸
school ship	教練船	教练船
third base	三壘	三垒
by-catch	混獲	混获
lady-of-the-night	美洲鴦鴛茉莉	美洲鸯鸳茉莉
pay-station	公用自動收費電話亭	公用自动收费电话亭
gun case	獵槍套	猎枪套
dead-end street	袋形路	袋形路
library	圖書館	图书馆
cover song	翻唱（Cover Song	翻唱（Cover Song
queen	王后	王后
coffee	咖啡	咖啡
conference room	會議室	会议室
brown university	布朗大學（美國）	布朗大学（美国）
blue star	藍星	蓝星
left brain	左腦	左脑
outside door	外門	外门
coach-and-four	四馬拉的大馬車	四马拉的大马车
beach house	海濱別墅	海滨别墅
female body	女性身體	女性身体
power train	傳動系	传动系
water gun	玩具水槍	玩具水枪
heavy water	重水	重水
baby bed	兒童床	儿童床
l-p	low-pressure 低壓	low-pressure 低压
air station	飛機場	飞机场
air gas	風煤氣(含空氣的煤氣)	风煤气(含空气的煤气)
letter case	字母盤	字母盘
return key	返回鍵	返回键
test range	檢驗範圍	检验范围
council board	全體議事者	全体议事者
tree	樹	树
screen	幕	幕
mobile	活動物體	活动物体
glass	玻璃	玻璃
fat	脂肪	脂肪
data track	資料磁軌	资料磁轨
red river	【旅】紅河	【旅】红河
royal	王室	王室
fell	一季所伐的木材	一季所伐的木材
coffee can	咖啡罐	咖啡罐
green gold	綠金	绿金
hair space	最小的空鉛	最小的空铅
writing board	書寫板	书写板
cross bit	十字鑽頭	十字钻头
field hospital	野戰醫院	野战医院
call centre	（公司的）呼叫中心	（公司的）呼叫中心
third eye	第三隻眼	第三只眼
living rock	原生岩石	原生岩石
minute hand	分針	分针
dog star	天狼星	天狼星
product line	生產線	生产线
police station	警察分局	警察分局
structure	結構	结构
love-in-winter	冬季戀歌	冬季恋歌
engine	引擎	引擎
airport	飛機場	飞机场
solution	解決	解决
record cover	記錄封面	记录封面
defense system	防禦體系	防御体系
game fish	供垂釣的魚	供垂钓的鱼
car train	汽車火車	汽车火车
church key	瓶起子	瓶起子
plant part	分佈部分	分布部分
court of justice	法院	法院
access road	入境道路	入境道路
fish family	魚家族	鱼家族
bus	公共汽車	公共汽车
surface	面	面
data link	資料通訊線路	数据通信线路
clean room	清潔室	清洁室
lake	湖	湖
mouth	嘴	嘴
fire station	消防站	消防站
military hospital	軍醫院	军医院
great hall	廣宇	广宇
small ship	小船	小船
poor boy	（切開中間夾肉乾酪蔬菜等的）大三明治	（切开中间夹肉干酪蔬菜等的）大三明治
ball field	球場	球场
wide-body	寬機身的	宽机身的
private parts	私處	私处
test bed	試驗檯	试验台
ship of the line	第一線作戰軍艦	第一线作战军舰
gun room	軍械庫	军械库
sports car	跑車	跑车
spring water	泉水	泉水
plant family	植物家族	植物家族
game equipment	比賽設施	比赛设施
rose	玫瑰	玫瑰
hill	小山	小山
arms	武器	武器
metal	金屬	金属
land mine	地雷	地雷
sea star	海星	海星
money plant	黃金葛	黄金葛
dead sea	死海	死海
stand oil	厚油	厚油
material body	物質肉體	物质肉体
pull-in	開車進入的岔道	开车进入的岔道
food product	食（物產）品	食（物产）品
t-bar	丁字架	丁字架
air gun	氣槍	气枪
cross street	十字街	十字街
period piece	古式器物	古式器物
stock car	運牲口的火車車輛	运牲口的火车车辆
hotel room	旅館客房	旅馆客房
water skin	水囊	水囊
water-color	水彩	水彩
world trade center	【旅】世界貿易中心	【旅】世界贸易中心
ground cover	地被植物	地被植物
department store	百貨公司	百货公司
common box	錦熟黃楊	锦熟黄杨
physical body	物體	物体
centre bit	中心鑽頭	中心钻头
silver	銀	银
agent	代理商	代理商
draw	拉	拉
waste	浪費	浪费
town gas	城市煤氣	城市煤气
gas main	煤氣總管	煤气总管
training table	體育鍛煉人員的伙食	体育锻炼人员的伙食
pull-up	拉起動作	拉起动作
french blue	群青	群青
hard drink	烈（性）酒	烈（性）酒
east sea	東海	东海
space station	空間站	空间站
love tree	愛情樹	爱情树
mobile home	（由汽車拖拉的）活動房屋	（由汽车拖拉的）活动房屋
blood cup	緋紅盤菌	绯红盘菌
cancer body	癌體	癌体
ice field	冰原（漂浮於海面上且直徑大於8公里的平板形冰）	冰原（漂浮于海面上且直径大于8公里的平板形冰）
bar bit	小勒銜	小勒衔
second-hand store	舊貨店	旧货店
chinese date	棗	枣
four-spot	四點	四点
trip line	脫扣線	脱扣线
stock room	貯料間	贮料间
prison	監獄	监狱
window	窗戶	窗户
stone	石頭	石头
mike	休息	休息
remains	剩餘物	剩余物
gold mine	金礦	金矿
water plant	水廠	水厂
work surface	工作面	工作面
power plant	發電廠	发电厂
hand wear	手穿	手穿
city hall	市政廳	市政厅
student center	學生中心	学生中心
press box	新聞記者席	新闻记者席
tv station	電視臺	电视台
eating place	公共飲食行業	公共饮食行业
eating house	飲食店	饮食店
attack dog	軍犬	军犬
perfect gas	理想氣體	理想气体
tree house	樹上小屋	树上小屋
hair style	髮型	发型
six-gun	六響槍	六响枪
boys-and-girls	孩子們	孩子们
plant order	工廠訂單	工厂订单
till	放錢的抽屜	放钱的抽屉
bag	袋子	袋子
camp	露營	露营
holy water	聖水	圣水
handle	柄	柄
conference center	會議中心	会议中心
double star	雙星（緊密相連的二顆星	双星（紧密相连的二颗星
big tree	巨杉（世界爺）	巨杉（世界爷）
hair oil	髮油	发油
stage door	後臺入口	后台入口
head shop	總店	总店
air spring	空氣彈簧	空气弹簧
paper cup	紙杯	纸杯
food color	食物色料	食物色料
practice range	練習場	练习场
young fish	幼魚	幼鱼
pull-off	軟定位器	软定位器
hair of the dog	解醉酒	解醉酒
queen of the night	大輸柱	大输柱
mental home	精神病院	精神病院
long tom	長射程大炮	长射程大炮
building material	建築材料	建筑材料
scene of action	發生地點	发生地点
line block	線路碼組	线路码组
hard drug	使人成癮的毒品	使人成瘾的毒品
french door	落地雙扇玻璃門	落地双扇玻璃门
pull-through	拉動槍膛擦拭布的繩子	拉动枪膛擦拭布的绳子
music hall	雜耍戲院	杂耍戏院
double gold	雙金獎	双金奖
picture card	有圖畫的明信片	有图画的明信片
food fish	食用魚	食用鱼
cat	貓	猫
produce	生產品	生产品
white cell	白血球	白血球
band saw	帶鋸	带锯
helping	幫助	帮助
dinner	晚餐	晚餐
work animal	役畜	役畜
wood	木材	木材
dead-air space	氣流停滯區	气流停滞区
floor plan	建築的平面圖	建筑的平面图
love seat	雙人沙發	双人沙发
field gun	野戰炮	野战炮
local area network	區域性區域網路	局部区域网络
school bus	校車	校车
fire ship	火攻船	火攻船
green river	格林河（從美國懷俄明州西部往南流入猶他州的科羅拉多河的河流）	格林河（从美国怀俄明州西部往南流入犹他州的科罗拉多河的河流）
life ring	救生圈	救生圈
looking glass	鏡子	镜子
post-office box	郵政信箱	邮政信箱
god tree	神樹	神树
bed cover	床罩	床罩
cover version	翻唱版本	翻唱版本
stock market	股票市場	股票市场
special k	老k	老k
radio source	無線電源	无线电源
male body	男人的身體	男人的身体
gun rest	炮架	炮架
plant food	植物養料	植物养料
video equipment	電視裝置	电视设备
garden	花園	花园
bridge	橋	桥
housing	遮蓋	遮盖
university of texas	德州大學	德州大学
set square	三角板	三角板
writing paper	書寫紙	书写纸
hospital bed	病床	病床
personal computer	個人電腦	个人电脑
built in bed	藏壁床	藏壁床
built-in bed	藏壁床	藏壁床
indian red	印度紅	印度红
james river	詹姆斯河	詹姆斯河
food shop	食品店	食品店
commercial art	商業藝術	商业艺术
office block	辦公大樓	办公大楼
water glass	水玻璃	水玻璃
drop press	模鍛壓力機	模锻压力机
air plant	壓縮空氣裝置	压缩空气装置
t cell	淋巴細胞（胸腺依賴性細胞）	淋巴细胞（胸腺依赖性细胞）
council table		
floor board	檯面厚木板	台面厚木板
poor box	慈善箱	慈善箱
board rule	板尺	板尺
high-rise	高樓	高楼
rock oil	石油	石油
work camp	囚犯勞動營	囚犯劳动营
eye cup	視杯	视杯
ready-to-wear	現成的	现成的
day camp	日間夏令營	日间夏令营
rose family	薔薇科	蔷薇科
gas range	煤氣灶	煤气灶
service tree	花楸果	花楸果
space bar	空格鍵	空格键
net	網	网
dress	服裝	服装
horse	馬	马
stick	棍	棍
map	地圖	地图
apple	蘋果	苹果
vehicle	交通工具	交通工具
writing table	寫字檯	写字台
european box	歐式箱子	欧式箱子
hair ball	毛團	毛团
date bar	日期吧	日期吧
queen post	內柱屋架	内柱屋架
state prison	州監獄	州监狱
man-made lake	人工湖	人工湖
brown cup	棕色杯子	棕色杯子
natural gas	天然氣	天然气
try square	曲尺	曲尺
off-line equipment	離線裝置	脱机设备
voice box	喉	喉
army base	陸軍基地	陆军基地
india paper	字典紙	字典纸
love handle	愛的把手	爱的把手
work in progress	在製品	在制品
gas oil	瓦斯油	瓦斯油
public address system	公用地址系統	公用地址系统
lower california	下加利福尼亞州	下加利福尼亚州
air cell	氣泡	气泡
baby grand	小型鋼琴	小型钢琴
fly	蒼蠅	苍蝇
technical	技術上的	技术上的
farm	農場	农场
treat	宴請	宴请
fresh water	淡水	淡水
earth-ball	大球	大球
post exchange	販賣部	贩卖部
simple eye	單眼	单眼
student union	學生會	学生会
economy class	（客機之）經濟艙位	（客机之）经济舱位
standing room	站立的空間	站立的空间
sitting room	起居室	起居室
roll-on	（婦女或兒童穿的）滾展式彈力緊身內衣	（妇女或儿童穿的）滚展式弹力紧身内衣
b cell	B細胞	B细胞
human foot	人類的腳	人类的脚
hand glass	放大鏡	放大镜
six-spot	六點	六点
card table	打牌用之輕便小桌	打牌用之轻便小桌
bus line	匯流線	汇流线
spot market	現貨(交易)市場	现货(交易)市场
figure eight	8字形	8字形
double door	雙扇門	双扇门
figure of eight	溜冰8字花式	溜冰8字花式
safety match	安全火柴	安全火柴
water-target	蓴菜	莼菜
mid-water	中層水域	中层水域
rose water	玫瑰香水	玫瑰香水
wine	葡萄酒	葡萄酒
summer sweet	夏天甜蜜	夏天甜蜜
iron	鐵	铁
web	網	网
t-square	（畫平行線時用的）丁字尺	（画平行线时用的）丁字尺
white metal	白合金	白合金
b complex	複合維生素b	复合维生素b
double bed	雙人床	双人床
building block	積木	积木
cross hair	十字線	十字线
indian shot	美人蕉	美人蕉
ice pick	（餐桌上用的）碎冰錐	（餐桌上用的）碎冰锥
training ship	教練艦	教练舰
notice board	警告牌	警告牌
plant process	植物過程	植物过程
great wall of china	萬里長城	万里长城
long island sound	長島海灣	长岛海湾
may apple	普達非倫(根)	普达非伦(根)
body structure	車身結構	车身结构
wall rock	圍巖	围岩
multiple star	聚星	聚星
water supply	水源	水源
engine room	引擎故障	引擎故障
action plant	動作植物	动作植物
ground floor	第一層	第一层
one iron	號鐵桿	号铁杆
house cat	屋貓	屋猫
steps	（樓外的）臺階	（楼外的）台阶
tea	茶	茶
shoot	射擊	射击
indian club	一個十分重的大頭棍	一个十分重的大头棍
arm	手臂	手臂
bay	海灣	海湾
pop art	通俗藝術	通俗艺术
color tv	彩電	彩电
strong drink	烈性酒	烈性酒
mountain	山	山
solid	固體	固体
black felt cup	黑色氈杯	黑色毡杯
eight ball	<美>8號黑球	<美>8号黑球
north channel	北海峽	北海峡
conference table	會議桌	会议桌
watch glass	表面皿	表面皿
estate car	旅行車	旅行车
car seat	車輛座椅	车辆座椅
animal order	順序	顺序
big cat	大型貓科動物（如獅	大型猫科动物（如狮
street drug	市售藥品	市售药品
control surface	控制表面	控制表面
christmas star	聖誕之星	圣诞之星
fresh food	新鮮食品	新鲜食品
television set	電視機	电视机
coach dog		
train oil	鯨油	鲸油
love apple	番茄	番茄
gun dog	（隨獵人狩獵的）獵狗	（随猎人狩猎的）猎狗
chinese wall	長城	长城
university of chicago	芝加哥大學	芝加哥大学
place setting	（進餐前放在進餐者面前的）餐位餐具	（进餐前放在进餐者面前的）餐位餐具
animal black	獸炭黑	兽炭黑
long horse	縱跳馬	纵跳马
building complex	綜合大樓	综合大楼
hot spring	溫泉	温泉
two iron	兩鐵	两铁
television system	電視系統	电视系统
chinese forget-me-not	中國勿忘我	中国勿忘我
classic	古典作品	古典作品
man-on-a-horse	騎馬男子	骑马男子
flat	扁平物	扁平物
clothes	衣服	衣服
electric	電的	电的
upper	鞋幫	鞋帮
sky	天空	天空
plane	平面	平面
valley	山谷	山谷
links	高爾夫球場	高尔夫球场
fuel	燃料	燃料
baby blue-eyes	【植物】	【植物】
fire screen	火爐欄	火炉栏
mobile phone	行動電話	移动电话
read-only memory	只讀記憶體	只读内存
death seat	死亡座（指汽車駕駛員旁邊座位）	死亡座（指汽车驾驶员旁边座位）
fire tree	火樹	火树
russian river	俄羅斯河	俄罗斯河
dinner set	成套的餐具	成套的餐具
lead plant	鉛廠	铅厂
paris university	巴黎大學	巴黎大学
construction paper	工作用紙	工作用纸
mother cell	母細胞	母细胞
university of paris	巴黎大學	巴黎大学
may wine	五月酒	五月酒
town hall	市政廳	市政厅
computer paper	計算機用紙	计算机用纸
number one wood	一號木	一号木
texas star	德州之星	德州之星
master key	萬能鑰匙	万能钥匙
home-farm	自營農場	自营农场
stone-face	要面無表情	要面无表情
running pop	執行流行音樂	运行流行音乐
stock-in-trade	存貨	存货
digital watch	數字顯示式電子錶	数字显示式电子表
car window	車窗	车窗
fire engine	消防車	消防车
food waste	食物殘渣	食物残渣
complex body part	複雜身體部位	复杂身体部位
soul food	美國黑人的傳統食品	美国黑人的传统食品
body waste	物質損耗	物质损耗
museum	博物館	博物馆
joint	連線處	连接处
mix	混合物	混合物
hospital train	醫院列車	医院列车
bear	熊	熊
boat	船	船
steel	鋼	钢
radio station	無線電臺	无线电台
land mass	大陸塊	大陆块
sex cell	生殖細胞（卵細胞和精子）	生殖细胞（卵细胞和精子）
gas station	加油站	加油站
market square	市集廣場	市集广场
test equipment	測試裝置	测试设备
waste matter	廢物	废物
metal saw	金屬開縫鋸	金属开缝锯
letter paper	信紙	信纸
house fly	普通家蠅	普通家蝇
farm-place	農場	农场
loss leader	為吸引顧客虧本賣出的東西	为吸引顾客亏本卖出的东西
christmas green	聖誕綠	圣诞绿
long iron	長棒(1-3號鐵頭球棒)	长棒(1-3号铁头球棒)
floor cover	樓面覆面層	楼面覆面层
natural spring	天然泉	天然泉
tv camera	電視攝影機	电视摄影机
club drug	俱樂部藥物	俱乐部药物
